id,distributor_id,country_id,location_id,transactions,gross_margin,date
6301,1597,1,199,374247,"$573.783.791,30",28/03/2024
2798,6,1,71,307885,"$251.139.292,90",29/04/2024
1137,90,1,56,307741,"$935.930.698,00",11/01/2024
898,63,2,35,460242,"$463.065.680,40",27/02/2024
6316,141,1,155,313421,"$368.961.906,50",16/02/2024
7246,1710,3,387,500672,"$336.355.155,80",14/02/2024
2285,1198,2,217,502901,"$265.282.612,30",25/01/2024
5563,1013,1,45,497822,"$317.718.763,80",04/03/2024
3323,1658,2,283,418628,"$803.282.266,90",10/03/2024
2958,461,1,389,212002,"$255.393.030,00",24/04/2024
2800,1135,1,116,519953,"$409.642.666,00",22/04/2024
6276,658,1,251,425972,"$567.974.415,70",21/02/2024
6493,1170,2,398,220583,"$193.807.020,90",04/03/2024
1586,1403,2,426,224091,"$299.045.376,40",17/02/2024
5517,1655,4,345,358081,"$589.973.317,90",20/04/2024
928,20,1,54,356993,"$340.296.102,70",18/03/2024
1555,1422,1,554,389701,"$817.895.947,30",28/02/2024
4992,579,1,411,338751,"$973.391.437,70",30/03/2024
6102,1456,1,90,326119,"$381.515.947,10",14/01/2024
5861,680,1,530,465329,"$297.077.065,10",31/01/2024
10047,247,1,525,312468,"$814.738.802,30",11/04/2024
1571,1267,2,373,514376,"$195.824.603,50",22/02/2024
2688,1455,2,191,360760,"$447.841.462,50",21/03/2024
3597,43,1,446,425588,"$779.549.903,70",19/01/2024
3375,1571,1,375,548811,"$881.781.208,00",25/01/2024
4145,315,1,378,555592,"$723.492.793,00",05/02/2024
7125,825,1,446,259608,"$596.083.576,40",16/01/2024
6468,1294,1,359,444530,"$707.583.603,70",07/01/2024
1984,1539,6,211,479947,"$394.812.010,40",20/01/2024
4652,836,1,8,242788,"$629.717.183,30",09/04/2024
881,66,2,50,476532,"$215.659.124,90",21/01/2024
2115,1713,2,161,405541,"$335.302.307,00",13/01/2024
7829,1694,1,395,175555,"$890.131.988,40",22/04/2024
5686,822,2,91,288158,"$749.968.825,20",11/01/2024
1282,63,2,35,399684,"$504.151.801,80",07/04/2024
10128,405,4,52,203652,"$680.873.028,90",19/04/2024
7113,1647,5,133,249708,"$564.394.227,10",23/03/2024
7833,1050,1,227,477699,"$573.338.573,60",08/04/2024
5163,1526,3,387,317616,"$347.318.818,30",12/04/2024
7515,974,5,364,316773,"$372.740.393,40",07/04/2024
4493,602,2,283,295282,"$807.522.729,40",22/02/2024
5222,1672,2,146,225395,"$743.939.118,90",08/04/2024
4015,7,1,162,268025,"$829.853.278,10",01/02/2024
4925,155,1,391,204636,"$489.967.000,10",25/01/2024
2086,626,1,210,198095,"$300.430.749,70",11/03/2024
6761,916,2,89,311938,"$741.962.650,10",12/04/2024
4923,614,1,327,174111,"$492.947.177,20",10/04/2024
9497,473,1,554,397766,"$668.842.889,30",06/02/2024
1152,69,1,197,479505,"$486.965.479,20",05/04/2024
10182,1307,1,277,449029,"$276.691.773,50",06/04/2024
9120,74,1,197,445748,"$454.854.366,00",25/02/2024
757,100,2,353,260074,"$308.216.136,60",14/01/2024
4075,746,2,179,428466,"$923.588.377,40",13/02/2024
2131,238,1,56,269157,"$564.655.084,00",20/03/2024
8772,1055,3,519,158235,"$332.506.674,20",18/03/2024
5564,44,1,68,408953,"$549.747.765,00",06/01/2024
4563,260,1,15,391905,"$801.659.272,30",
4876,1622,1,378,527885,"$736.722.788,90",23/03/2024
40,51,2,89,360980,"$153.208.769,60",07/02/2024
3791,1425,1,47,194870,"$443.660.935,70",23/02/2024
3059,1538,5,313,446228,"$902.759.447,80",11/02/2024
5097,1561,1,264,493187,"$714.233.658,30",08/03/2024
3933,535,1,516,224063,"$780.289.209,60",15/02/2024
481,59,1,36,437103,"$822.308.374,80",28/03/2024
5046,442,1,86,422721,"$870.281.741,90",04/04/2024
1034,20,1,54,428570,"$725.833.536,80",
4829,697,1,510,161244,"$511.595.327,70",06/02/2024
6668,290,1,177,350736,"$250.967.424,70",09/02/2024
9808,1737,2,477,478488,"$752.134.077,30",04/02/2024
5637,454,1,304,340573,"$342.128.184,50",31/03/2024
9816,578,2,486,190855,"$558.544.756,30",30/03/2024
8658,684,2,289,197578,"$426.672.232,80",19/04/2024
3128,1723,3,102,538170,"$863.008.754,60",03/03/2024
7416,1118,1,421,548919,"$557.164.556,40",03/03/2024
6052,55,1,135,525890,"$975.324.817,90",20/01/2024
4131,1672,2,146,539208,"$626.323.873,50",29/01/2024
1081,75,1,348,312360,"$799.780.852,60",08/04/2024
2333,1456,1,90,415888,"$891.829.484,10",
3039,1324,1,128,460439,"$782.745.091,90",02/03/2024
3222,342,1,513,243012,"$661.892.052,00",18/01/2024
398,86,1,354,378507,"$199.001.242,10",17/03/2024
5324,70,2,467,329112,"$213.065.435,50",27/03/2024
3178,440,1,218,490424,"$487.047.407,70",07/02/2024
8158,1048,1,269,308068,"$570.370.076,10",22/04/2024
7269,777,2,353,422740,"$642.179.560,10",20/04/2024
7792,1508,1,227,438511,"$387.578.679,20",01/04/2024
9107,548,1,170,532604,"$468.585.168,30",30/03/2024
6367,1573,4,222,500762,"$785.508.196,00",27/02/2024
6221,136,1,141,257621,"$925.000.840,80",30/01/2024
